iter	RMSE
286	43555.78796
287	43549.79077
288	43544.06629
289	43532.1297
290	43522.11193
291	43489.59351
292	43435.15466
293	43426.76325
294	43421.94357
295	43375.85068
296	43328.08348
297	43322.64738
298	43314.01697
299	43309.31896
300	43304.11992
301	43264.5504
302	43230.24394
303	43224.99942
304	43219.90587
305	43214.87874
306	43209.95415
307	43183.40489
308	43152.38045
309	43097.28846
310	43092.49141
311	43042.74734
312	43038.04998
313	43033.44779
314	43028.9548
315	43021.59252
316	42997.59325
317	42954.45317
318	42919.61986
319	42915.2804
320	42909.18126
321	42905.00936
322	42900.93477
323	42884.81571
324	42880.35911
325	42876.45306
326	42836.29563
327	42826.39234
328	42819.34906
329	42791.31793
330	42785.89128
331	42776.09868
332	42772.25287
333	42767.99377
334	42761.02601
335	42756.88711
336	42740.16675
337	42731.95547
338	42728.42286
339	42724.49426
340	42717.30315
341	42664.56668
342	42660.75634
343	42653.83186
344	42649.86781
345	42646.56356
346	42643.39873
347	42611.68364
348	42608.16098
349	42556.70815
350	42507.01827
351	42503.7185
352	42500.55991
353	42494.33683
354	42444.34085
355	42404.42768
356	42398.59884
357	42361.39587
358	42353.04253
359	42349.67257
360	42306.03268
361	42300.41423
362	42297.27298
363	42249.30998
364	42246.2044
365	42199.42696
366	42150.74711
367	42105.2693
368	42101.89496
369	42098.85265
370	42054.46003
371	42051.33061
372	42013.33914
373	41981.82541
374	41978.64377
375	41944.89814
376	41920.78735
377	41916.86644
378	41903.85245
379	41858.06088
380	41854.87853
381	41814.44951
382	41811.38337
383	41763.29021
384	41760.32332
385	41757.36721
386	41754.49872
387	41715.52617
388	41693.23894
389	41690.25333
390	41684.46269
391	41647.87755
392	41604.84414
393	41584.28009
394	41581.33319
395	41544.75949
396	41542.05552
397	41510.51492
398	41507.76264
399	41504.59512
400	41468.73356
401	41464.43487
402	41461.58342
403	41426.78973
404	41424.29764
405	41389.52532
406	41386.84327
407	41381.68388
408	41339.90444
409	41305.45997
410	41302.69655
411	41266.79068
412	41247.02964
413	41244.37962
414	41217.80606
415	41215.50546
416	41212.72484
417	41168.56626
418	41165.81212
419	41162.87575
420	41127.93208
421	41125.24699
422	41083.81019
423	41042.39524
424	41027.66348
425	40990.56226
426	40959.05792
427	40924.85127
428	40883.33848
429	40880.77583
430	40840.24122
431	40837.87914
432	40834.69079
433	40832.23184
434	40795.99495
435	40773.76785
436	40756.15282
437	40741.0037
438	40708.72364
439	40706.34857
440	40691.46405
441	40689.08054
442	40683.20783
443	40681.13376
444	40638.87847
445	40613.83721
446	40594.21442
447	40570.64275
448	40568.39134
449	40535.2688
450	40504.7798
451	40502.58151
452	40482.24539
453	40457.52659
454	40434.40087
455	40413.0014
456	40410.66147
457	40391.52544
458	40369.20805
459	40337.40152
460	40331.98708
461	40329.80814
462	40304.72557
463	40302.65997
464	40300.3698
465	40291.65334
466	40289.78756
467	40266.73826
468	40258.64469
469	40251.5853
470	40218.25032
471	40201.4802
472	40186.62092
473	40147.65108
474	40145.64128
475	40129.07261
476	40100.32982
477	40080.60387
478	40061.42034
479	40028.70789
480	40022.35323
481	40020.12615
482	39982.79855
483	39960.57332
484	39926.0288
485	39910.93138
486	39908.98152
487	39872.82844
488	39859.45249
489	39828.77337
490	39803.06636
491	39800.79119
492	39798.74773
493	39769.02181
494	39764.03837
495	39750.37001
496	39714.72588
497	39712.8509
498	39686.05044
499	39653.65338
500	39629.90045
501	39627.74085
502	39625.7224
503	39608.18374
504	39580.69268
505	39578.76562
506	39576.89416
507	39547.14218
508	39531.01661
509	39515.25134
510	39484.37114
511	39480.35984
512	39467.81807
513	39444.18097
514	39420.45593
515	39406.36209
516	39381.08013
517	39353.37332
518	39351.45826
519	39349.68112
520	39316.95722
521	39298.29227
522	39284.40446
523	39270.90443
524	39268.9851
525	39238.75724
526	39215.22404
527	39184.95491
528	39177.17508
529	39159.91602
530	39157.99296
531	39156.30013
532	39126.76637
533	39125.02772
534	39100.37614
535	39098.70326
536	39080.2872
537	39056.12689
538	39054.3163
539	39037.12808
540	39035.21038
541	39015.29023
542	38997.92409
543	38996.16394
544	38990.61805
545	38960.26407
546	38958.44146
547	38955.20723
548	38928.75385
549	38919.88566
550	38918.03306
551	38900.72154
552	38899.03198
553	38873.43931
554	38850.66847
555	38830.16025
556	38810.55532
557	38808.6394
558	38794.16981
559	38779.84561
560	38758.28397
561	38742.27015
562	38740.81627
563	38719.32107
564	38717.43572
565	38715.71168
566	38694.93306
567	38680.55603
568	38678.97353
569	38677.44379
570	38676.18514
571	38648.00578
572	38646.43657
573	38644.96915
574	38638.85121
575	38620.10382
576	38618.42565
577	38590.94246
578	38567.41632
579	38549.32356
580	38533.73917
581	38516.33121
582	38499.44832
583	38473.26459
584	38471.68631
585	38453.62366
586	38437.9015
587	38412.33997
588	38395.94581
589	38382.08545
590	38380.53869
591	38378.7422
592	38372.91535
593	38371.64662
594	38369.79746
595	38346.47739
596	38342.43318
597	38341.01241
598	38318.83297
599	38317.2496
600	38303.92744
601	38282.79692
602	38276.18257
603	38269.48074
604	38259.6634
605	38258.14261
606	38236.46282
607	38235.16877
608	38225.35636
609	38223.71517
610	38221.23309
611	38209.83946
612	38208.34482
613	38187.26076
614	38182.15041
615	38163.72395
616	38162.11692
617	38159.65723
618	38156.11283
619	38138.48402
620	38136.99626
621	38135.52477
622	38134.25048
623	38128.45814
624	38127.04397
625	38125.30669
626	38104.68121
627	38091.6083
628	38072.16136
629	38056.03103
630	38033.11232
631	38022.47625
632	38020.84972
633	38018.52775
634	38001.57624
635	37989.18334
636	37988.01868
637	37983.81105
638	37982.40248
639	37980.95482
640	37979.74649
641	37976.25452
642	37955.06615
643	37953.61974
644	37951.97657
645	37934.86006
646	37933.5741
647	37920.94294
648	37919.65295
649	37918.21957
650	37909.82966
651	37897.58935
652	37876.81277
653	37857.2573
654	37837.675
655	37836.80864
656	37823.12179
657	37803.04737
658	37801.67451
659	37785.79013
660	37769.83278
661	37764.65353
662	37763.29189
663	37761.97009
664	37760.40511
665	37740.25325
666	37720.1272
667	37704.79008
668	37689.40331
669	37687.99141
670	37686.55306
671	37685.43289
672	37684.11074
673	37674.02174
674	37657.74335
675	37642.77751
676	37627.04389
677	37609.17939
678	37596.03218
679	37584.06872
680	37571.23259
681	37569.93157
682	37565.00652
683	37563.90692
684	37562.47719
685	37561.23656
686	37551.19143
687	37547.26852
688	37539.77425
689	37530.54768
690	37521.05179
691	37503.69034
692	37496.55182
693	37486.9597
694	37477.68751
695	37476.31247
696	37461.00682
697	37459.90422
698	37458.58858
699	37440.8733
700	37437.73937
701	37418.21246
702	37410.81824
703	37409.59539
704	37408.26842
705	37389.2004
706	37380.19085
707	37362.28829
708	37357.89369
709	37343.64135
710	37342.49266
711	37329.70539
712	37328.19629
713	37311.37769
714	37309.71776
715	37297.66768
716	37287.38383
717	37276.63582
718	37275.34645
719	37260.40944
720	37244.31028
721	37243.30693
722	37242.14022
723	37230.60224
724	37216.84018
725	37204.46238
726	37190.28117
727	37189.11478
728	37187.85441
729	37167.7819
730	37165.0529
731	37154.67548
732	37140.87894
733	37124.93104
734	37121.80712
735	37120.77585
736	37105.01042
737	37092.87556
738	37080.0403
739	37076.62816
740	37075.43522
741	37062.22956
742	37051.92879
743	37050.74157
744	37048.00504
745	37046.35819
746	37042.36835
747	37041.00418
748	37039.63946
749	37030.6653
750	37014.60934
751	37013.45818
752	37009.01675
753	37007.84076
754	36993.07978
755	36991.73436
756	36983.65175
757	36972.25171
758	36971.2279
759	36970.14237
760	36966.38739
761	36965.45722
762	36963.72356
763	36962.68327
764	36961.61895
765	36951.79385
766	36943.37439
767	36942.24839
768	36938.82472
769	36928.33238
770	36927.151
771	36910.32684
772	36897.64486
773	36894.48208
774	36868.76774
775	36861.89038
776	36849.5137
777	36847.8773
778	36846.62121
779	36836.22726
780	36824.59286
781	36823.5231
782	36821.15631
783	36809.45694
784	36800.20499
785	36798.14821
786	36797.05285
787	36782.75516
788	36769.1258
789	36756.30367
790	36740.81652
791	36735.75576
792	36734.51775
793	36733.50493
794	36731.99406
795	36729.93698
796	36728.88515
797	36722.959
798	36721.93658
799	36720.55464
800	36707.83348
801	36700.30416
802	36699.23416
803	36686.35368
804	36672.08639
805	36662.89887
806	36660.59159
807	36645.71694
808	36644.70918
809	36637.55915
810	36636.35964
811	36635.18008
812	36625.95493
813	36617.11871
814	36608.54763
815	36600.21602
816	36594.25303
817	36592.81386
818	36591.71474
819	36590.6046
820	36581.64223
821	36575.86949
822	36559.74544
823	36558.77937
824	36547.64476
825	36546.82154
826	36527.3927
827	36526.41128
828	36525.30018
829	36517.1942
830	36516.09328
831	36515.08028
832	36499.72751
833	36484.30564
834	36479.17886
835	36468.63337
836	36467.58591
837	36457.99476
838	36457.15
839	36446.87299
840	36434.67287
841	36433.73522
842	36432.82638
843	36431.48116
844	36430.58532
845	36428.80632
846	36427.88196
847	36410.06184
848	36396.79461
849	36395.12854
850	36394.21551
851	36393.42924
852	36391.03264
853	36390.26776
854	36378.06754
855	36364.96021
856	36363.65805
857	36358.97206
858	36357.46423
859	36356.56998
860	36355.78256
861	36354.43555
862	36341.90958
863	36330.56564
864	36329.79728
865	36316.45645
866	36304.942
867	36304.13826
868	36302.89733
869	36297.02712
870	36282.90022
871	36281.94756
872	36279.48097
873	36270.06797
874	36268.07352
875	36257.79235
876	36257.07746
877	36256.26506
878	36243.13864
879	36241.86991
880	36233.17749
881	36232.32898
882	36224.9065
883	36218.02657
884	36211.23225
885	36206.46808
886	36205.50158
887	36202.40829
888	36194.30608
889	36193.40806
890	36184.58692
891	36183.86268
892	36176.77304
893	36175.86624
894	36175.05698
895	36172.6186
896	36171.97842
897	36170.79693
898	36169.93438
899	36159.67729
900	36148.95088
901	36146.07729
902	36140.53128
903	36139.80847
904	36139.02543
905	36132.76993
906	36131.94308
907	36119.67981
908	36112.90817
909	36100.42586
910	36095.38204
911	36092.46899
912	36082.65654
913	36065.15648
914	36056.33996
915	36046.49236
916	36045.41339
917	36044.49051
918	36043.76312
919	36031.64304
920	36029.31118
921	36028.61607
922	36027.97756
923	36015.08949
924	36014.33843
925	36001.82227
926	35995.03981
927	35984.76313
928	35980.49911
929	35979.75432
930	35977.59334
931	35976.95749
932	35974.78251
933	35973.10874
934	35962.18321
935	35961.55789
936	35960.82491
937	35959.67568
938	35958.89412
939	35958.19702
940	35946.19631
941	35945.59021
942	35938.22157
943	35936.59378
944	35934.8414
945	35924.08322
946	35923.39005
947	35922.8386
948	35912.31004
949	35903.98418
950	35897.51101
951	35896.82783
952	35896.06389
953	35894.94064
954	35894.02502
955	35893.35276
956	35892.65992
957	35892.03188
958	35891.42479
959	35880.11642
960	35879.41401
961	35869.05136
962	35860.11476
963	35851.64598
964	35844.74997
965	35834.64129
966	35824.77262
967	35823.57305
968	35821.10861
969	35813.95426
970	35804.32516
971	35795.3075
972	35782.63772
973	35771.36907
974	35767.32529
975	35762.85327
976	35755.40131
977	35754.7883
978	35747.58749
979	35747.06426
980	35746.37997
981	35745.85053
982	35739.50307
983	35736.88669
984	35736.12061
985	35734.32624
986	35721.53049
987	35720.38328
988	35711.46198
989	35710.91462
990	35710.33888
991	35697.69873
992	35697.10241
993	35696.45558
994	35690.15354
995	35681.4313
996	35670.68058
997	35664.66941
998	35651.23426
999	35650.59056
